category,filename,http_code,phones_len,phones,kana_text
01_liaisons,do_it.wav,200,5,"d uː w ei t",ドウウアット
01_liaisons,get_it.wav,200,4,"k ʌ d d",クアドド
01_liaisons,go_on.wav,200,5,"ɡ ɔ w ʌ n",グオウアン
01_liaisons,good_boy.wav,200,4,"k ʌ b ɔ",クアブオー
01_liaisons,have_to.wav,200,5,"h ʌ f t uː",ハアフトウー
01_liaisons,i_agree.wav,200,5,"ʌ j d ɹ i",アイドリイー
01_liaisons,left_bank.wav,200,4,"l f b ɛ",ルフブエ
01_liaisons,live_in.wav,200,3,"l i v",ルイヴ
01_liaisons,lot_of.wav,200,4,"l aː ɹ v",ルアルヴ
01_liaisons,need_in.wav,200,4,"n iː d n",ニードン
01_liaisons,next_day.wav,200,6,"n aː k s d ɪ",ナクスディ
01_liaisons,out_of_it.wav,200,5,"ɑ ɹ v e d",アーヴアド
01_liaisons,pick_it_up.wav,200,5,"θ ʌ k i aː",スアキーア
01_liaisons,right_away.wav,200,6,"ɹ ʌ d ʌ w ei",ラアドアウア
01_liaisons,take_it.wav,200,5,"θ ei k aɪ d",スアクァイド
01_liaisons,ten_bikes.wav,200,6,"θ n b ai k s",スンブアクス
01_liaisons,turn_it_on.wav,200,6,"t ɑ n i ɑ n",トアンイアン
01_liaisons,water.wav,200,3,"w ɾ ɚ",ウラアー
02_words,apple.wav,200,3,"ʌ p o",アプア
02_words,coffee.wav,200,4,"kh ɑ f i",ッアフイー
02_words,happy.wav,200,3,"ħ ʌ p",ッアップ
02_words,hello.wav,200,4,"ħ ʌ l ɔ",ッアルオー
02_words,morning.wav,200,4,"m uː n ŋ",ムウンング
02_words,open.wav,200,5,"ʔ ɔ p ə n",ッオプアン
02_words,picture.wav,200,5,"p i k s yæɜ",プイクスア
02_words,summer.wav,200,3,"ʌ m ɚ",アムアー
02_words,table.wav,200,4,"t ei p oɜ",トアプア
02_words,window.wav,200,4,"w ei n aʊ",ウアンアウ
03_sentences,have_a_nice_day.wav,200,8,"ħ ʌ v i n aɪ t eɪ",ッアヴインァイトエー
03_sentences,i_am_happy.wav,200,5,"ʌ ʌ θ ɑ i",アアスアイー
03_sentences,i_like_coffee.wav,200,7,"ʔ ʌ n k ɑ f i",ッアンクアフイー
03_sentences,i_understand.wav,200,9,"ʌ j ʌ n ɚ s t eɪ d",アイアンアストェイド
03_sentences,it_is_beautiful.wav,200,9,"i ɹ z b uː d ʌ f ɔ",イーズブウドアフオー
03_sentences,open_the_window.wav,200,7,"o i n ə w n ʌ",アインアウンア
03_sentences,see_you_later.wav,200,5,"s l aɪ ɾ ɚ",スルァイラアー
03_sentences,thank_you_very_much.wav,200,10,"f i k uː f ɹ i m ʌ t",フイクウフリイムアット
03_sentences,this_is_good.wav,200,6,"d s ɪ z ɡ d",ドスイズグド
03_sentences,where_are_you.wav,200,6,"w e ɹ aː j e̞",ウアルアイア
04_phonetic,america.wav,200,7,"ʔ ʌ m ɛ ɹ k ʌ",ッアムエクア
04_phonetic,banana.wav,200,6,"b ʌ n aː n ʌ",ブアンアンア
04_phonetic,camera.wav,200,5,"k ʌ m ɚ ʌ",クアムアア
04_phonetic,idea.wav,200,3,"ʌ t i",アトイー
04_phonetic,radio.wav,200,3,"ɹ iː d",リイド
