category,filename,http_code,phones_len,kana_text,avg_conf
01_liaisons,do_it.wav,415,0,,0
01_liaisons,get_it.wav,415,0,,0
01_liaisons,go_on.wav,415,0,,0
01_liaisons,good_boy.wav,415,0,,0
01_liaisons,have_to.wav,415,0,,0
01_liaisons,i_agree.wav,415,0,,0
01_liaisons,left_bank.wav,415,0,,0
01_liaisons,live_in.wav,415,0,,0
01_liaisons,lot_of.wav,415,0,,0
01_liaisons,need_in.wav,415,0,,0
01_liaisons,next_day.wav,415,0,,0
01_liaisons,out_of_it.wav,415,0,,0
01_liaisons,pick_it_up.wav,415,0,,0
01_liaisons,right_away.wav,415,0,,0
01_liaisons,take_it.wav,415,0,,0
01_liaisons,ten_bikes.wav,415,0,,0
01_liaisons,turn_it_on.wav,415,0,,0
01_liaisons,water.wav,415,0,,0
02_words,apple.wav,415,0,,0
02_words,coffee.wav,415,0,,0
02_words,happy.wav,415,0,,0
02_words,hello.wav,415,0,,0
02_words,morning.wav,415,0,,0
02_words,open.wav,415,0,,0
02_words,picture.wav,415,0,,0
02_words,summer.wav,415,0,,0
02_words,table.wav,415,0,,0
02_words,window.wav,415,0,,0
03_sentences,have_a_nice_day.wav,415,0,,0
03_sentences,i_am_happy.wav,415,0,,0
03_sentences,i_like_coffee.wav,415,0,,0
03_sentences,i_understand.wav,415,0,,0
03_sentences,it_is_beautiful.wav,415,0,,0
03_sentences,open_the_window.wav,415,0,,0
03_sentences,see_you_later.wav,415,0,,0
03_sentences,thank_you_very_much.wav,415,0,,0
03_sentences,this_is_good.wav,415,0,,0
03_sentences,where_are_you.wav,415,0,,0
04_phonetic,america.wav,415,0,,0
04_phonetic,banana.wav,415,0,,0
04_phonetic,camera.wav,415,0,,0
04_phonetic,idea.wav,415,0,,0
04_phonetic,radio.wav,415,0,,0
