category,filename,http_code,phones_len,kana_text,avg_conf
01_liaisons,do_it.wav,200,5,ドウウアット,0.47248546332120894
01_liaisons,get_it.wav,200,4,クアドド,0.588343895971775
01_liaisons,go_on.wav,200,5,グオウアン,0.5718088984489441
01_liaisons,good_boy.wav,200,4,クアブオー,0.6421900913119316
01_liaisons,have_to.wav,200,5,ハアフトウー,0.5902879387140274
01_liaisons,i_agree.wav,200,5,アイドリイー,0.6856875479221344
01_liaisons,left_bank.wav,200,4,ルフブエ,0.8476101607084274
01_liaisons,live_in.wav,200,3,ルイヴ,0.7452501058578491
01_liaisons,lot_of.wav,200,4,ルアルヴ,0.6457570046186447
01_liaisons,need_in.wav,200,4,ニードン,0.7687786817550659
01_liaisons,next_day.wav,200,6,ナクスディ,0.6525052636861801
01_liaisons,out_of_it.wav,200,5,アーヴアド,0.6290501594543457
01_liaisons,pick_it_up.wav,200,5,スアキーア,0.5051529377698898
01_liaisons,right_away.wav,200,6,ラアドアウア,0.485298216342926
01_liaisons,take_it.wav,200,5,スアクァイド,0.41211430728435516
01_liaisons,ten_bikes.wav,200,6,スンブアクス,0.5651964520414671
01_liaisons,turn_it_on.wav,200,6,トアンイアン,0.5775663840274016
01_liaisons,water.wav,200,3,ウラアー,0.5402520100275675
02_words,apple.wav,200,3,アプア,0.5696591685215632
02_words,coffee.wav,200,4,ッアフイー,0.4916665703058243
02_words,happy.wav,200,3,ッアップ,0.5712530016899109
02_words,hello.wav,200,4,ッアルオー,0.5766095072031021
02_words,morning.wav,200,4,ムウンング,0.7688417434692383
02_words,open.wav,200,5,ッオプアン,0.5522351086139679
02_words,picture.wav,200,5,プイクスア,0.47559432312846184
02_words,summer.wav,200,3,アムアー,0.2667472114165624
02_words,table.wav,200,4,トアプア,0.30816143937408924
02_words,window.wav,200,4,ウアンアウ,0.5605450049042702
03_sentences,have_a_nice_day.wav,200,8,ッアヴインァイトエー,0.6738883554935455
03_sentences,i_am_happy.wav,200,5,アアスアイー,0.4138268411159515
03_sentences,i_like_coffee.wav,200,7,ッアンクアフイー,0.6114447393587658
03_sentences,i_understand.wav,200,9,アイアンアストェイド,0.7684852149751451
03_sentences,it_is_beautiful.wav,200,9,イーズブウドアフオー,0.5769528481695387
03_sentences,open_the_window.wav,200,7,アインアウンア,0.4859455078840256
03_sentences,see_you_later.wav,200,5,スルァイラアー,0.7248160541057587
03_sentences,thank_you_very_much.wav,200,10,フイクウフリイムアット,0.6813837751746178
03_sentences,this_is_good.wav,200,6,ドスイズグド,0.7167029877503713
03_sentences,where_are_you.wav,200,6,ウアルアイア,0.48118729889392853
04_phonetic,america.wav,200,7,ッアムエクア,0.6883333644696644
04_phonetic,banana.wav,200,6,ブアンアンア,0.6401555699606737
04_phonetic,camera.wav,200,5,クアムアア,0.5902990996837616
04_phonetic,idea.wav,200,3,アトイー,0.7121053338050842
04_phonetic,radio.wav,200,3,リイド,0.4416658679644267
